Square ID	count all	cluster 0	cluster 1	cluster 2	Undefined
3877_1_0_3_3_3	36	2	5	2	11
3877_0_2_1_0_3	6	0	1	2	1
3877_1_3_0_1_3	6	0	1	1	3
3877_1_3_1_0_1	3	0	1	1	0
3877_0_2_1_3_1	2	0	1	0	0
3877_0_2_1_0_2	4	0	0	1	1
3877_0_2_1_3_2	5	0	2	0	2
3877_0_2_1_2_0	3	1	1	0	0
3877_1_0_2_2_1	10	0	1	1	2
3877_3_1_0_1	4	0	2	0	1
3877_0_2_2_3_0	1	0	0	1	0
3877_0_2_1_1_0	3	1	0	0	0
3877_1_3_3_1_3_0	2	0	1	0	0
3877_1_3_1_0_3	38	2	4	5	3
3877_1_3_0_0_0	28	1	4	3	7
3877_1_0_3_0_0	11	1	1	3	2
3877_0_2_3_2	5	0	1	1	1
3877_1_3_1_0_0	12	3	2	1	0
3877_1_3_0_3_3_3	4	0	2	0	1
3877_1_0_0_3_3	6	1	1	0	0
3877_0_2_0_1_2	2	0	0	1	1
3877_0_2_2_2_3	7	0	0	4	2
